2026-08-09 02:17:27,790 | INFO | Monitoring started
2026-08-09 02:17:27,790 | WARNING | CPU usage is high
2026-08-09 02:17:27,790 | ERROR | Failed to collect disk information
2026-08-09 02:17:27,790 | CRITICAL | SysWatch agent has a critical problem
2026-08-09 02:28:07,699 | INFO | Monitoring cycle started
2026-08-09 02:28:09,715 | INFO | System status: HEALTHY
2026-08-09 02:28:34,405 | INFO | Scheduler started
2026-08-09 02:28:34,405 | INFO | Monitoring cycle started
2026-08-09 02:28:36,428 | INFO | System status: HEALTHY
2026-08-09 02:28:46,434 | INFO | Monitoring cycle started
2026-08-09 02:28:48,458 | INFO | System status: HEALTHY
2026-08-09 02:28:58,462 | INFO | Monitoring cycle started
2026-08-09 02:29:00,495 | INFO | System status: HEALTHY
2026-08-09 02:30:32,842 | INFO | Scheduler started
2026-08-09 02:30:32,842 | INFO | Monitoring cycle started
2026-08-09 02:30:34,853 | INFO | System status: HEALTHY
2026-08-09 02:30:44,860 | INFO | Monitoring cycle started
2026-08-09 02:30:46,881 | INFO | System status: HEALTHY
2026-08-09 02:30:56,892 | INFO | Monitoring cycle started
2026-08-09 02:30:58,926 | INFO | System status: HEALTHY
2026-08-09 02:31:08,927 | INFO | Monitoring cycle started
2026-08-09 02:31:10,958 | INFO | System status: HEALTHY
2026-08-09 02:31:20,965 | INFO | Monitoring cycle started
2026-08-09 02:31:22,994 | INFO | System status: HEALTHY
2026-08-09 02:31:33,002 | INFO | Monitoring cycle started
2026-08-09 02:31:35,015 | INFO | System status: HEALTHY
2026-08-09 02:31:45,017 | INFO | Monitoring cycle started
2026-08-09 02:31:47,032 | INFO | System status: HEALTHY
2026-08-09 02:31:57,040 | INFO | Monitoring cycle started
2026-08-09 02:31:59,071 | INFO | System status: HEALTHY
2026-08-09 02:32:09,073 | INFO | Monitoring cycle started
2026-08-09 02:32:11,091 | INFO | System status: HEALTHY
2026-08-09 02:32:21,094 | INFO | Monitoring cycle started
2026-08-09 02:32:23,121 | INFO | System status: HEALTHY
2026-08-09 02:32:33,135 | INFO | Monitoring cycle started
2026-08-09 02:32:35,166 | INFO | System status: HEALTHY
2026-08-09 02:32:45,166 | INFO | Monitoring cycle started
2026-08-09 02:32:47,172 | INFO | System status: HEALTHY
2026-08-09 02:32:57,178 | INFO | Monitoring cycle started
2026-08-09 02:32:59,206 | INFO | System status: HEALTHY
2026-08-09 02:33:09,222 | INFO | Monitoring cycle started
2026-08-09 02:33:11,240 | INFO | System status: HEALTHY
2026-08-09 02:33:21,255 | INFO | Monitoring cycle started
2026-08-09 02:33:23,264 | INFO | System status: HEALTHY
2026-08-09 02:33:33,278 | INFO | Monitoring cycle started
2026-08-09 02:33:35,293 | INFO | System status: HEALTHY
2026-08-09 02:33:45,300 | INFO | Monitoring cycle started
2026-08-09 02:33:47,331 | INFO | System status: HEALTHY
2026-08-09 02:33:57,332 | INFO | Monitoring cycle started
2026-08-09 02:33:59,363 | INFO | System status: HEALTHY
2026-08-09 02:34:09,378 | INFO | Monitoring cycle started
2026-08-09 02:34:11,409 | INFO | System status: HEALTHY
2026-08-09 02:34:21,410 | INFO | Monitoring cycle started
2026-08-09 02:34:23,439 | INFO | System status: HEALTHY
2026-08-09 02:34:33,443 | INFO | Monitoring cycle started
2026-08-09 02:34:35,459 | INFO | System status: HEALTHY
2026-08-09 02:34:45,463 | INFO | Monitoring cycle started
2026-08-09 02:34:47,480 | INFO | System status: HEALTHY
2026-08-09 02:34:57,487 | INFO | Monitoring cycle started
2026-08-09 02:34:59,509 | INFO | System status: HEALTHY
2026-08-09 02:35:09,518 | INFO | Monitoring cycle started
2026-08-09 02:35:11,551 | INFO | System status: HEALTHY
2026-08-09 02:35:21,562 | INFO | Monitoring cycle started
2026-08-10 01:23:24,593 | INFO | Monitoring cycle started
2026-08-10 01:23:26,634 | INFO | System status: HEALTHY
2026-08-10 01:25:53,771 | INFO | Scheduler started
2026-08-10 01:25:53,771 | INFO | Monitoring cycle started
2026-08-10 01:25:55,799 | INFO | System status: HEALTHY
2026-08-10 01:26:05,807 | INFO | Monitoring cycle started
2026-08-10 01:26:07,844 | INFO | System status: HEALTHY
2026-08-10 01:26:17,857 | INFO | Monitoring cycle started
2026-08-10 01:26:19,893 | INFO | System status: HEALTHY
2026-08-10 01:26:29,898 | INFO | Monitoring cycle started
2026-08-10 01:26:31,921 | INFO | System status: HEALTHY
2026-08-10 01:30:48,169 | INFO | Scheduler started
2026-08-10 01:30:48,169 | INFO | Monitoring cycle started
2026-08-10 01:30:50,205 | INFO | System status: HEALTHY
2026-08-10 01:53:36,166 | INFO | Scheduler started
2026-08-10 01:53:36,166 | INFO | Monitoring cycle started
2026-08-10 01:53:38,202 | INFO | System status: HEALTHY
2026-08-10 01:53:48,204 | INFO | Monitoring cycle started
2026-08-10 01:53:50,245 | INFO | System status: HEALTHY
2026-08-10 01:54:00,260 | INFO | Monitoring cycle started
2026-08-10 01:54:10,117 | INFO | Scheduler started
2026-08-10 01:54:10,117 | INFO | Monitoring cycle started
2026-08-10 01:54:12,153 | INFO | System status: HEALTHY
2026-08-10 01:54:13,158 | INFO | Monitoring cycle started
2026-08-10 01:54:15,180 | INFO | System status: HEALTHY
2026-08-10 01:54:16,180 | INFO | Monitoring cycle started
2026-08-10 01:54:18,204 | INFO | System status: HEALTHY
2026-08-10 01:54:19,212 | INFO | Monitoring cycle started
2026-08-10 01:54:21,248 | INFO | System status: HEALTHY
2026-08-10 01:54:22,261 | INFO | Monitoring cycle started
2026-08-10 01:54:24,315 | INFO | System status: HEALTHY
2026-08-10 01:54:25,326 | INFO | Monitoring cycle started
2026-08-10 01:54:27,350 | INFO | System status: HEALTHY
2026-08-10 01:54:28,359 | INFO | Monitoring cycle started
2026-08-10 01:54:30,399 | INFO | System status: HEALTHY
2026-08-10 01:54:31,408 | INFO | Monitoring cycle started
2026-08-10 01:54:33,444 | INFO | System status: HEALTHY
2026-08-10 01:58:45,460 | INFO | Monitoring cycle started
2026-08-10 01:58:47,500 | ERROR | Monitoring error: 'NoneType' object is not subscriptable
2026-08-10 02:01:36,699 | INFO | Monitoring cycle started
2026-08-10 02:01:38,730 | INFO | System status: HEALTHY
2026-08-10 02:03:07,036 | INFO | Monitoring cycle started
2026-08-10 02:03:09,068 | INFO | System status: HEALTHY
2026-08-10 02:10:38,225 | INFO | Monitoring cycle started
2026-08-10 02:10:40,243 | INFO | System status: HEALTHY
2026-08-10 02:40:54,563 | INFO | Monitoring cycle started
2026-08-10 02:40:56,595 | ERROR | Monitoring error: get_top_processes() got an unexpected keyword argument 'sort_by'
2026-08-10 02:41:07,295 | INFO | Monitoring cycle started
2026-08-10 02:41:09,314 | ERROR | Monitoring error: get_top_processes() got an unexpected keyword argument 'sort_by'
2026-08-10 02:42:20,699 | INFO | Monitoring cycle started
2026-08-10 02:42:23,849 | INFO | System status: HEALTHY
2026-08-10 03:02:30,708 | INFO | Monitoring cycle started
2026-08-10 03:02:33,863 | ERROR | Monitoring error: get_service_status() missing 1 required positional argument: 'service_name'
2026-08-10 03:03:17,422 | INFO | Monitoring cycle started
2026-08-10 03:03:20,542 | ERROR | Monitoring error: get_service_status() missing 1 required positional argument: 'service_name'
2026-08-10 03:04:41,747 | INFO | Monitoring cycle started
2026-08-10 03:04:44,914 | ERROR | Monitoring error: get_service_status() missing 1 required positional argument: 'service_name'
2026-08-10 03:07:16,810 | INFO | Monitoring cycle started
2026-08-10 03:07:19,967 | INFO | System status: HEALTHY
2026-08-10 03:11:47,150 | INFO | Monitoring cycle started
2026-08-10 03:11:50,412 | INFO | System status: HEALTHY
2026-08-11 02:01:09,340 | INFO | Monitoring cycle started
2026-08-11 02:01:13,208 | INFO | System status: HEALTHY
2026-08-11 02:02:34,215 | INFO | Scheduler started
2026-08-11 02:02:34,215 | INFO | Monitoring cycle started
2026-08-11 02:02:37,840 | INFO | System status: HEALTHY
2026-08-11 02:02:47,840 | INFO | Monitoring cycle started
2026-08-11 02:02:50,958 | INFO | System status: HEALTHY
2026-08-11 02:03:00,968 | INFO | Monitoring cycle started
2026-08-11 02:03:04,208 | INFO | System status: HEALTHY
2026-08-11 02:03:14,211 | INFO | Monitoring cycle started
2026-08-11 02:03:17,578 | INFO | System status: HEALTHY
2026-08-11 02:18:43,800 | INFO | Scheduler started
2026-08-11 02:18:43,800 | INFO | Monitoring cycle started
2026-08-11 02:18:47,047 | INFO | System status: HEALTHY
2026-08-11 02:18:57,051 | INFO | Monitoring cycle started
2026-08-11 03:11:51,771 | INFO | Monitoring cycle started
2026-08-11 03:11:53,892 | INFO | System status: HEALTHY
2026-08-11 03:19:11,670 | INFO | Monitoring cycle started
2026-08-11 03:19:13,826 | INFO | System status: HEALTHY
2026-08-11 03:19:46,426 | INFO | Monitoring cycle started
2026-08-11 03:19:48,749 | INFO | System status: HEALTHY
2026-08-11 03:35:03,113 | INFO | Monitoring cycle started
2026-08-11 03:35:05,381 | INFO | System status: HEALTHY
2026-08-11 03:39:55,450 | INFO | Monitoring cycle started
2026-08-11 03:39:57,715 | INFO | System status: HEALTHY
2026-08-11 03:40:45,202 | INFO | Monitoring cycle started
2026-08-11 03:40:47,331 | INFO | System status: HEALTHY
2026-08-11 03:50:16,586 | INFO | Monitoring cycle started
2026-08-11 03:50:18,833 | INFO | System status: HEALTHY
2026-08-11 03:50:24,198 | INFO | Monitoring cycle started
2026-08-11 03:50:26,327 | INFO | System status: HEALTHY
2026-08-11 03:50:31,701 | INFO | Monitoring cycle started
2026-08-11 03:50:33,826 | INFO | System status: HEALTHY
2026-08-11 03:50:39,172 | INFO | Monitoring cycle started
2026-08-11 03:50:41,294 | INFO | System status: HEALTHY
2026-08-11 03:50:46,670 | INFO | Monitoring cycle started
2026-08-11 03:50:48,934 | INFO | System status: HEALTHY
2026-08-11 03:50:54,173 | INFO | Monitoring cycle started
2026-08-11 03:50:56,299 | INFO | System status: HEALTHY
2026-08-11 03:51:01,695 | INFO | Monitoring cycle started
2026-08-11 03:51:03,828 | INFO | System status: HEALTHY
2026-08-11 03:51:09,370 | INFO | Monitoring cycle started
2026-08-11 03:51:11,506 | INFO | System status: HEALTHY
2026-08-11 03:51:17,010 | INFO | Monitoring cycle started
2026-08-11 03:51:19,324 | INFO | System status: HEALTHY
2026-08-11 03:51:24,762 | INFO | Monitoring cycle started
2026-08-11 03:51:26,894 | INFO | System status: HEALTHY
2026-08-11 03:51:32,294 | INFO | Monitoring cycle started
2026-08-11 03:51:34,445 | INFO | System status: WARNING
2026-08-11 03:51:34,445 | WARNING | System requires attention
2026-08-11 03:51:39,714 | INFO | Monitoring cycle started
2026-08-11 03:51:41,870 | INFO | System status: HEALTHY
2026-08-11 03:51:47,283 | INFO | Monitoring cycle started
2026-08-11 03:51:49,422 | INFO | System status: HEALTHY
2026-08-11 03:51:54,862 | INFO | Monitoring cycle started
2026-08-11 03:51:56,993 | INFO | System status: HEALTHY
2026-08-11 03:52:02,214 | INFO | Monitoring cycle started
2026-08-11 03:52:04,529 | INFO | System status: HEALTHY
2026-08-11 03:52:10,046 | INFO | Monitoring cycle started
2026-08-11 03:52:12,179 | INFO | System status: HEALTHY
